heat_load_W,pump_speed_rad_s,cpu_temp_K,flow_rate_kg_s,pump_pressure_in,pump_pressure_out
40,40,309.72514888884655,0.2484758002616112,149999.99999999997,156518.1704083633
40,60,307.3571944554613,0.30144375432919396,149999.99999999997,180168.5207488036
40,80,305.3840383286514,0.36374616743218735,149999.99999999997,213402.62564876
40,100,303.83662483722304,0.4313777807741979,149999.99999999997,256096.75086136718
40,125,302.36920306541083,0.5202787668336879,149999.99999999997,322685.5930568563
40,150,301.27059363839305,0.6120833529271007,149999.99999999997,403919.2370193681
40,175,300.4271319484603,0.7056783084031527,149999.99999999997,499773.45848967304
40,200,299.7645235790447,0.8004444718465783,149999.99999999997,610232.2121178174
65,40,320.07704070979213,0.2484758002616112,149999.99999999997,156518.1704083633
65,60,316.22557284376074,0.3014437543291939,149999.99999999997,180168.5207488036
65,80,313.0142175025373,0.3637461674321873,149999.99999999997,213402.62564876
65,100,310.4932774139387,0.4313777807741979,149999.99999999997,256096.75086136718
65,125,308.0987458055829,0.5202787668336879,149999.99999999997,322685.5930568563
65,150,306.3013412979914,0.6120833529271007,149999.99999999997,403919.23701936804
65,175,304.91636253058255,0.7056783084031527,149999.99999999997,499773.45848967304
65,200,303.8230834791155,0.8004444718465783,149999.99999999997,610232.2121178174
90,40,330.4289333620856,0.2484758002616112,149999.99999999997,156518.1704083633
90,60,325.093951302915,0.3014437543291939,149999.99999999997,180168.5207488036
90,80,320.64439667043274,0.36374616743218735,149999.99999999997,213402.62564876
90,100,317.1499299906622,0.4313777807741979,149999.99999999997,256096.75086136724
90,125,313.8282885457541,0.5202787668336879,149999.99999999997,322685.5930568563
90,150,311.33208895758946,0.6120833529271007,149999.99999999997,403919.2370193681
90,175,309.40559311270454,0.7056783084031526,149999.99999999997,499773.45848967315
90,200,307.8816433791861,0.8004444718465783,149999.99999999997,610232.2121178174
115,40,340.78082582810305,0.24847580026161117,149999.99999999997,156518.1704083633
115,60,333.9623297628319,0.3014437543291939,149999.99999999997,180168.5207488036
115,80,328.27457584467766,0.3637461674321873,149999.99999999997,213402.62564875997
115,100,323.8065825670655,0.4313777807741979,149999.99999999997,256096.75086136724
115,125,319.5578312859246,0.5202787668336879,149999.99999999997,322685.5930568563
115,150,316.36283661718704,0.6120833529271007,149999.99999999997,403919.2370193681
115,175,313.89482369482624,0.7056783084031527,149999.99999999997,499773.45848967304
115,200,311.9402032792565,0.8004444718465783,149999.99999999997,610232.2121178174
150,40,355.2734750357846,0.2484758002616112,149999.99999999997,156518.1704083633
150,60,346.3780595775721,0.30144375432919396,149999.99999999997,180168.5207488036
150,80,338.95682668835724,0.36374616743218735,149999.99999999997,213402.62564876
150,100,333.1258961743997,0.4313777807741979,149999.99999999997,256096.75086136718
150,125,327.57919112215575,0.5202787668336879,149999.99999999997,322685.5930568563
150,150,323.4058833406233,0.6120833529271007,149999.99999999997,403919.23701936804
150,175,320.1797465097964,0.7056783084031527,149999.99999999997,499773.45848967304
150,200,317.6221871393549,0.8004444718465782,149999.99999999997,610232.2121178173
200,40,375.9772591690325,0.24847580026161117,149999.99999999997,156518.1704083633
200,60,364.1148164352077,0.3014437543291939,149999.99999999997,180168.5207488036
200,80,354.2171850318733,0.3637461674321873,149999.99999999997,213402.62564876
200,100,346.4392013278065,0.431377780774198,149999.99999999997,256096.75086136718
200,125,339.03827660248675,0.5202787668336879,149999.99999999997,322685.5930568563
200,150,333.4673786598168,0.6120833529271007,149999.99999999997,403919.2370193681
200,175,329.1582076740385,0.7056783084031527,149999.99999999997,499773.45848967304
200,200,325.73930693949467,0.8004444718465783,149999.99999999997,610232.2121178174
250,40,396.68104386114805,0.24847580026161117,149999.99999999997,156518.1704083633
250,60,381.85157325458465,0.3014437543291939,149999.99999999997,180168.5207488036
250,80,369.477543371171,0.3637461674321873,149999.99999999997,213402.62564876
250,100,359.7525064811465,0.4313777807741979,149999.99999999997,256096.75086136724
250,125,350.49736208281774,0.5202787668336879,149999.99999999997,322685.5930568563
250,150,343.52887397900895,0.6120833529271007,149999.99999999997,403919.2370193682
250,175,338.1366688382798,0.7056783084031526,149999.99999999997,499773.45848967304
250,200,333.85642673963383,0.8004444718465783,149999.99999999997,610232.2121178174
300,40,417.38482854233007,0.2484758002616112,149999.99999999997,156518.1704083633
300,60,399.58833014242583,0.30144375432919396,149999.99999999997,180168.5207488036
300,80,384.73790171874606,0.36374616743218724,149999.99999999997,213402.62564875997
300,100,373.0658116338262,0.4313777807741979,149999.99999999997,256096.75086136718
300,125,361.9564475631415,0.5202787668336879,149999.99999999997,322685.5930568563
300,150,353.5903692982001,0.6120833529271007,149999.99999999997,403919.2370193681
300,175,347.11513000252,0.7056783084031527,149999.99999999997,499773.45848967304
300,200,341.9735465397722,0.8004444718465783,149999.99999999997,610232.2121178174
350,40,438.0886131113694,0.24847580026161123,149999.99999999997,156518.1704083633
350,60,417.3250870247441,0.30144375432919396,149999.99999999997,180168.5207488036
350,80,399.99826005654813,0.3637461674321873,149999.99999999997,213402.62564876
350,100,386.3791167863973,0.43137778077419797,149999.99999999997,256096.75086136724
350,125,373.4155330434571,0.5202787668336879,149999.99999999997,322685.5930568563
350,150,363.6518646173898,0.6120833529271008,149999.99999999997,403919.2370193681
350,175,356.0935911667593,0.7056783084031527,149999.99999999997,499773.45848967304
350,200,350.0906663399099,0.8004444718465783,149999.99999999997,610232.2121178174
400,40,458.79239770251144,0.2484758002616112,149999.99999999997,156518.1704083633
400,60,435.0618438752275,0.30144375432919396,149999.99999999997,180168.5207488036
400,80,415.258618397613,0.36374616743218735,149999.99999999997,213402.62564876
400,100,399.69242193956484,0.43137778077419797,149999.99999999997,256096.75086136718
400,125,384.87461852378357,0.5202787668336879,149999.99999999997,322685.5930568563
400,150,373.71335993657834,0.6120833529271008,149999.99999999997,403919.23701936804
400,175,365.0720523309978,0.7056783084031527,149999.99999999997,499773.45848967304
400,200,358.2077861400469,0.8004444718465783,149999.99999999997,610232.2121178174
450,40,479.4961821274895,0.2484758002616112,149999.99999999997,156518.1704083633
450,60,452.79860072235,0.3014437543291939,149999.99999999997,180168.5207488036
450,80,430.5189767362279,0.3637461674321873,149999.99999999997,213402.62564876
450,100,413.0057270924675,0.43137778077419797,149999.99999999997,256096.75086136724
450,125,396.33370400409353,0.5202787668336878,149999.99999999997,322685.5930568563
450,150,383.77485525576515,0.6120833529271006,149999.99999999997,403919.2370193681
450,175,374.0505134952353,0.7056783084031527,149999.99999999997,499773.45848967304
450,200,366.3249059401831,0.8004444718465783,149999.99999999997,610232.2121178174
500,40,500.1999665749567,0.2484758002616112,149999.99999999997,156518.1704083633
500,60,470.5353574632862,0.3014437543291939,149999.99999999997,180168.5207488036
500,80,445.779335079032,0.3637461674321873,149999.99999999997,213402.62564876
500,100,426.3190322454111,0.43137778077419797,149999.99999999997,256096.75086136718
