heat_load_W,pump_speed_rad_s,cpu_temp_K,flow_rate_kg_s,pump_pressure_in,pump_pressure_out
40,40,309.72514888884655,0.2484758002616112,149999.99999999997,156518.1704083633
40,60,307.3571944554613,0.30144375432919396,149999.99999999997,180168.5207488036
40,80,305.3840383286514,0.36374616743218735,149999.99999999997,213402.62564876
40,100,303.83662483722304,0.4313777807741979,149999.99999999997,256096.75086136718
40,125,302.36920306541083,0.5202787668336879,149999.99999999997,322685.5930568563
40,150,301.27059363839305,0.6120833529271007,149999.99999999997,403919.2370193681
40,175,300.4271319484603,0.7056783084031527,149999.99999999997,499773.45848967304
40,200,299.7645235790447,0.8004444718465783,149999.99999999997,610232.2121178174
40,250,298.8025805651275,0.9921686052178527,149999.99999999997,874936.1262127538
40,300,298.15329737712113,1.185657225002652,149999.99999999997,1198001.0626122393
40,350,297.7018221759936,1.3801865297844285,149999.99999999997,1579409.5635280635
65,40,320.07704070979213,0.2484758002616112,149999.99999999997,156518.1704083633
65,60,316.22557284376074,0.3014437543291939,149999.99999999997,180168.5207488036
65,80,313.0142175025373,0.3637461674321873,149999.99999999997,213402.62564876
65,100,310.4932774139387,0.4313777807741979,149999.99999999997,256096.75086136718
65,125,308.0987458055829,0.5202787668336879,149999.99999999997,322685.5930568563
65,150,306.3013412979914,0.6120833529271007,149999.99999999997,403919.23701936804
65,175,304.91636253058255,0.7056783084031527,149999.99999999997,499773.45848967304
65,200,303.8230834791155,0.8004444718465783,149999.99999999997,610232.2121178174
65,250,302.22028846093804,0.9921686052178526,149999.99999999997,874936.1262127537
65,300,301.1168264915662,1.185657225002652,149999.99999999997,1198001.062612239
65,350,300.3260659467652,1.3801865297844282,149999.99999999997,1579409.5635280632
90,40,330.4289333620856,0.2484758002616112,149999.99999999997,156518.1704083633
90,60,325.093951302915,0.3014437543291939,149999.99999999997,180168.5207488036
90,80,320.64439667043274,0.36374616743218735,149999.99999999997,213402.62564876
90,100,317.1499299906622,0.4313777807741979,149999.99999999997,256096.75086136724
90,125,313.8282885457541,0.5202787668336879,149999.99999999997,322685.5930568563
90,150,311.33208895758946,0.6120833529271007,149999.99999999997,403919.2370193681
90,175,309.40559311270454,0.7056783084031526,149999.99999999997,499773.45848967315
90,200,307.8816433791861,0.8004444718465783,149999.99999999997,610232.2121178174
90,250,305.6379963567485,0.9921686052178526,149999.99999999997,874936.1262127538
90,300,304.08035560601127,1.185657225002652,149999.99999999997,1198001.0626122393
90,350,302.9503097175368,1.3801865297844282,149999.99999999997,1579409.5635280632
115,40,340.78082582810305,0.24847580026161117,149999.99999999997,156518.1704083633
115,60,333.9623297628319,0.3014437543291939,149999.99999999997,180168.5207488036
115,80,328.27457584467766,0.3637461674321873,149999.99999999997,213402.62564875997
115,100,323.8065825670655,0.4313777807741979,149999.99999999997,256096.75086136724
115,125,319.5578312859246,0.5202787668336879,149999.99999999997,322685.5930568563
115,150,316.36283661718704,0.6120833529271007,149999.99999999997,403919.2370193681
115,175,313.89482369482624,0.7056783084031527,149999.99999999997,499773.45848967304
115,200,311.9402032792565,0.8004444718465783,149999.99999999997,610232.2121178174
115,250,309.05570425255877,0.9921686052178526,149999.99999999997,874936.1262127537
115,300,307.04388472045616,1.185657225002652,149999.99999999997,1198001.0626122393
115,350,305.5745534883083,1.3801865297844282,149999.99999999997,1579409.5635280632
150,40,355.2734750357846,0.2484758002616112,149999.99999999997,156518.1704083633
150,60,346.3780595775721,0.30144375432919396,149999.99999999997,180168.5207488036
150,80,338.95682668835724,0.36374616743218735,149999.99999999997,213402.62564876
150,100,333.1258961743997,0.4313777807741979,149999.99999999997,256096.75086136718
150,125,327.57919112215575,0.5202787668336879,149999.99999999997,322685.5930568563
150,150,323.4058833406233,0.6120833529271007,149999.99999999997,403919.23701936804
150,175,320.1797465097964,0.7056783084031527,149999.99999999997,499773.45848967304
150,200,317.6221871393549,0.8004444718465782,149999.99999999997,610232.2121178173
150,250,313.840495306693,0.9921686052178528,149999.99999999997,874936.1262127537
150,300,311.1928254806789,1.1856572250026518,149999.99999999997,1198001.0626122393
150,350,309.24849476738837,1.3801865297844282,149999.99999999997,1579409.563528063
