heat_load_W,pump_speed_rad_s,cpu_temp_K,flow_rate_kg_s,pump_pressure_in,pump_pressure_out,delta_p_Pa,volumetric_flow_m3s,pump_power_W
40,1,310.90445683699073,0.2279855574516007,149999.99999999997,148506.27400155546,-1493.7259984445118,0.00022798555745160072,-0.3405479544353209
40,6,311.4766570985628,0.2191108285364991,149999.99999999997,145233.34269295997,-4766.6573070400045,0.0002191108285364991,-1.044426231895093
40,11,311.8271526600764,0.2139769282135707,149999.99999999997,143394.4690984443,-6605.53090155567,0.0002139769282135707,-1.4134312115347007
40,16,311.896876686875,0.2129814447169918,149999.99999999997,143042.52574673688,-6957.474253263092,0.0002129814447169918,-1.481812918041247
40,21,311.71356407509745,0.2156167689065356,149999.99999999997,143977.49202383694,-6022.507976163033,0.0002156167689065356,-1.298553710534112
40,26,311.3313734716201,0.221304466391309,149999.99999999997,146031.23744972915,-3968.762550270825,0.000221304466391309,-0.8783048784214956
40,31,310.810655930973,0.2295024496919274,149999.99999999997,149077.62529613695,-922.3747038630245,0.0002295024496919274,-0.2116872540704302
40,36,310.2151936807233,0.2395726273649633,149999.99999999997,152958.92394412294,2958.923944122973,0.0002395726273649633,0.7088771834666405
40,41,309.60206734331604,0.2508063434734737,149999.99999999997,157469.6480502251,7469.648050225136,0.0002508063434734737,1.8734351145107284
40,46,308.98886627537365,0.2630299825325785,149999.99999999997,162594.54570913038,12594.545709130412,0.0002630299825325785,3.312743137878334
65,1,321.99461656362644,0.2279855574516007,149999.99999999997,148506.27400155546,-1493.7259984445118,0.00022798555745160072,-0.3405479544353209
65,6,322.9249329167285,0.2191108285364991,149999.99999999997,145233.34269295997,-4766.6573070400045,0.0002191108285364991,-1.044426231895093
65,11,323.4947641651091,0.2139769282135707,149999.99999999997,143394.4690984443,-6605.53090155567,0.0002139769282135707,-1.4134312115347007
65,16,323.6081185456892,0.2129814447169918,149999.99999999997,143042.5257467369,-6957.474253263063,0.0002129814447169918,-1.4818129180412407
65,21,323.3100952012949,0.2156167689065357,149999.99999999997,143977.49202383694,-6022.507976163033,0.00021561676890653568,-1.2985537105341127
65,26,322.6887271533826,0.2213044663913089,149999.99999999997,146031.23744972915,-3968.762550270825,0.0002213044663913089,-0.8783048784214952
65,31,321.842104453637,0.2295024496919274,149999.99999999997,149077.62529613698,-922.3747038629954,0.0002295024496919274,-0.21168725407042355
65,36,320.87389668169294,0.2395726273649633,149999.99999999997,152958.92394412294,2958.923944122973,0.0002395726273649633,0.7088771834666405
65,41,319.8768906777641,0.2508063434734737,149999.99999999997,157469.6480502251,7469.648050225136,0.0002508063434734737,1.8734351145107284
65,46,318.8796713518332,0.2630299825325785,149999.99999999997,162594.54570913038,12594.545709130412,0.0002630299825325785,3.312743137878334
90,1,333.08477827742485,0.2279855574516007,149999.99999999997,148506.27400155546,-1493.7259984445118,0.00022798555745160072,-0.3405479544353209
90,6,334.3732114305927,0.2191108285364991,149999.99999999997,145233.34269295997,-4766.6573070400045,0.0002191108285364991,-1.044426231895093
90,11,335.16237893802975,0.2139769282135707,149999.99999999997,143394.4690984443,-6605.53090155567,0.0002139769282135707,-1.4134312115347007
90,16,335.3193637963589,0.2129814447169918,149999.99999999997,143042.5257467369,-6957.474253263063,0.0002129814447169918,-1.4818129180412407
90,21,334.906629400767,0.2156167689065357,149999.99999999997,143977.49202383694,-6022.507976163033,0.00021561676890653568,-1.2985537105341127
90,26,334.0460834263061,0.2213044663913089,149999.99999999997,146031.23744972915,-3968.762550270825,0.0002213044663913089,-0.8783048784214952
90,31,332.873554847216,0.2295024496919273,149999.99999999997,149077.62529613695,-922.3747038630245,0.0002295024496919273,-0.21168725407043013
90,36,331.5326009363292,0.2395726273649633,149999.99999999997,152958.92394412294,2958.923944122973,0.0002395726273649633,0.7088771834666405
90,41,330.15171475740624,0.2508063434734737,149999.99999999997,157469.6480502251,7469.648050225136,0.0002508063434734737,1.8734351145107284
90,46,328.7704768488928,0.2630299825325785,149999.99999999997,162594.54570913038,12594.545709130412,0.0002630299825325785,3.312743137878334
115,1,344.1749394966308,0.2279855574516007,149999.99999999997,148506.27400155546,-1493.7259984445118,0.00022798555745160072,-0.3405479544353209
115,6,345.8214884764093,0.2191108285364991,149999.99999999997,145233.34269295997,-4766.6573070400045,0.0002191108285364991,-1.044426231895093
115,11,346.82999184574,0.2139769282135707,149999.99999999997,143394.4690984443,-6605.53090155567,0.0002139769282135707,-1.4134312115347007
115,16,347.0306070930394,0.2129814447169918,149999.99999999997,143042.5257467369,-6957.474253263063,0.0002129814447169918,-1.4818129180412407
115,21,346.5031618724755,0.2156167689065356,149999.99999999997,143977.49202383694,-6022.507976163033,0.0002156167689065356,-1.298553710534112
115,26,345.40343837369795,0.2213044663913089,149999.99999999997,146031.23744972915,-3968.762550270825,0.0002213044663913089,-0.8783048784214952
115,31,343.90500477650085,0.2295024496919273,149999.99999999997,149077.62529613695,-922.3747038630245,0.0002295024496919273,-0.21168725407043013
115,36,342.19130488582414,0.2395726273649633,149999.99999999997,152958.92394412294,2958.923944122973,0.0002395726273649633,0.7088771834666405
115,41,340.42653867439907,0.2508063434734737,149999.99999999997,157469.6480502251,7469.648050225136,0.0002508063434734737,1.8734351145107284
115,46,338.66128226750874,0.2630299825325785,149999.99999999997,162594.54570913038,12594.545709130412,0.0002630299825325785,3.312743137878334
150,1,359.7011644139693,0.2279855574516007,149999.99999999997,148506.27400155546,-1493.7259984445118,0.00022798555745160072,-0.3405479544353209
150,6,361.84907685953374,0.2191108285364991,149999.99999999997,145233.34269295997,-4766.6573070400045,0.0002191108285364991,-1.044426231895093
150,11,363.1646505656264,0.2139769282135707,149999.99999999997,143394.4690984443,-6605.53090155567,0.0002139769282135707,-1.4134312115347007
150,16,363.4263483865646,0.2129814447169918,149999.99999999997,143042.52574673688,-6957.474253263092,0.0002129814447169918,-1.481812918041247
150,21,362.7383079369373,0.2156167689065356,149999.99999999997,143977.49202383694,-6022.507976163033,0.0002156167689065356,-1.298553710534112
150,26,361.3037357722717,0.2213044663913089,149999.99999999997,146031.23744972915,-3968.762550270825,0.0002213044663913089,-0.8783048784214952
150,31,359.3490339518162,0.2295024496919273,149999.99999999997,149077.62529613695,-922.3747038630245,0.0002295024496919273,-0.21168725407043013
150,36,357.1134900041167,0.2395726273649633,149999.99999999997,152958.92394412294,2958.923944122973,0.0002395726273649633,0.7088771834666405
150,41,354.8112919451716,0.2508063434734738,149999.99999999997,157469.6480502251,7469.648050225136,0.0002508063434734738,1.8734351145107293
150,46,352.5084097536769,0.2630299825325785,149999.99999999997,162594.54570913038,12594.545709130412,0.0002630299825325785,3.312743137878334
