heat_load_W,optimal_speed_rad_s,cpu_temp_K,delta_p_Pa,flow_rate_kg_s,pump_power_W,status
40,40.0,309.73,6518.17,0.24848,1.6196,OK
65,40.0,320.08,6518.17,0.24848,1.6196,OK
90,40.0,330.43,6518.17,0.24848,1.6196,OK
115,40.0,340.78,6518.17,0.24848,1.6196,OK
150,40.0,355.27,6518.17,0.24848,1.6196,OK
200,60.0,364.11,30168.52,0.30144,9.0941,OK
250,100.0,359.75,106096.75,0.43138,45.7678,OK
300,125.0,361.96,172685.59,0.52028,89.8446,OK
350,150.0,363.65,253919.24,0.61208,155.4197,OK
400,175.0,365.07,349773.46,0.70568,246.8275,OK
450,200.0,366.32,460232.21,0.80044,368.3903,OK
500,,,,,,NO FEASIBLE SPEED FOUND
